isbn;title;author;year;publisher;imageurl;price;stock
1558746218;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;Health Communications;http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg;85;29
1567407781;The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;Brilliance Audio - Trade;http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg;5;36
1575663937;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;Kensington Publishing Corp.;http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg;151;34
1881320189;Goodbye to the Buttermilk Sky;Julia Oliver;1994;River City Pub;http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg;36;28
440234743;The Testament;John Grisham;1999;Dell;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg;172;26
452264464;Beloved (Plume Contemporary Fiction);Toni Morrison;1994;Plume;http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg;16;30
609804618;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;The Onion;1999;Three Rivers Press;http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg;163;2
1841721522;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;"Ryland Peters &amp; Small Ltd";http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg;53;39
1879384493;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;J. R. Parrish;2003;Cypress House;http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg;27;9
61076031;"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)";"Mary-Kate &amp; Ashley Olsen";2000;HarperEntertainment;http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg;100;27
439095026;Tell Me This Isn't Happening;Robynn Clairday;1999;Scholastic;http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg;185;8
689821166;Flood : Mississippi 1927;Kathleen Duey;1998;Aladdin;http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg;59;15
971880107;Wild Animus;Rich Shapero;2004;Too Far;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg;67;10
345402871;Airframe;Michael Crichton;1997;Ballantine Books;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg;117;33
345417623;Timeline;MICHAEL CRICHTON;2000;Ballantine Books;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg;158;13
684823802;OUT OF THE SILENT PLANET;C.S. Lewis;1996;Scribner;http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg;37;29
375759778;Prague : A Novel;ARTHUR PHILLIPS;2003;Random House Trade Paperbacks;http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg;130;40
425163091;Chocolate Jesus;Stephan Jaramillo;1998;Berkley Publishing Group;http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg;148;30
3404921038;Wie Barney es sieht.;Mordecai Richler;2002;LÃ?Â¼bbe;http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg;168;23
3442353866;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;Eleanor Cooney;2001;Goldmann;http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg;47;34
3442410665;Sturmzeit. Roman.;Charlotte Link;1991;Goldmann;http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg;60;33
3442446937;Tage der Unschuld.;Richard North Patterson;2000;Goldmann;http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg;5;17
375406328;Lying Awake;Mark Salzman;2000;Alfred A. Knopf;http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg;28;4
446310786;To Kill a Mockingbird;Harper Lee;1988;"Little Brown &amp; Company";http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg;136;16
449005615;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002;Ballantine Books;http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg;32;23
60168013;Pigs in Heaven;Barbara Kingsolver;1993;Harpercollins;http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg;125;32
038078243X;Miss Zukas and the Raven's Dance;Jo Dereske;1996;Avon;http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg;199;0
055321215X;Pride and Prejudice;Jane Austen;1983;Bantam;http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg;75;19
067176537X;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;Dolores Krieger;1979;Fireside;http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg;196;25
61099686;Downtown;Anne Rivers Siddons;1995;HarperTorch;http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg;49;1
553582909;Icebound;Dean R. Koontz;2000;Bantam Books;http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg;70;32
671888587;I'll Be Seeing You;Mary Higgins Clark;1994;Pocket;http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg;76;30
553582747;From the Corner of His Eye;Dean Koontz;2001;Bantam Books;http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg;57;28
425182908;Isle of Dogs;Patricia Cornwell;2002;Berkley Publishing Group;http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg;58;15
042518630X;Purity in Death;J.D. Robb;2002;Berkley Publishing Group;http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg;59;29
440223571;This Year It Will Be Different: And Other Stories;Maeve Binchy;1997;Dell;http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg;83;12
812523873;Proxies;Laura J. Mixon;1999;Tor Books;http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg;191;11
842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000;Tyndale House Publishers;http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg;68;40
440225701;The Street Lawyer;JOHN GRISHAM;1999;Dell;http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg;161;9
60914068;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;HarperCollins Publishers;http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg;112;21
156047624;All the King's Men;Robert Penn Warren;1982;Harvest Books;http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg;107;37
245542957;Pacific Northwest;Hans Johannes Hoefer;1985;Chambers Harrap Publishers Ltd;http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg;28;9
380715899;A Soldier of the Great War;Mark Helprin;1992;Avon Books;http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg;79;13
553280333;Getting Well Again;O. Carol Simonton Md;1992;Bantam;http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg;157;4
961769947;Northwest Wines and Wineries;Chuck Hill;1993;Speed Graphics;http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg;14;39
964778319;An Atmosphere of Eternity: Stories of India;David Iglehart;2002;Sunflower Press;http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg;136;20
671623249;LONESOME DOVE;Larry McMurtry;1986;Pocket;http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg;182;0
679810307;Shabanu: Daughter of the Wind (Border Trilogy);SUZANNE FISHER STAPLES;1991;Laurel Leaf;http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg;81;35
679865691;Haveli (Laurel Leaf Books);SUZANNE FISHER STAPLES;1995;Laurel Leaf;http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg;140;35
2070423204;Lieux dits;Michel Tournier;2002;Gallimard;http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg;114;20
345260317;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;Carl Sagan;1978;Ballantine Books;http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg;117;32
394743741;The yawning heights;Aleksandr Zinoviev;1980;Random House;http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg;113;39
042511774X;Breathing Lessons;Anne Tyler;1994;Berkley Publishing Group;http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg;45;30
804106304;The Joy Luck Club;Amy Tan;1994;Prentice Hall (K-12);http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg;172;37
1853262404;Heart of Darkness (Wordsworth Collection);Joseph Conrad;1998;NTC/Contemporary Publishing Company;http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg;41;28
312970242;The Angel Is Near;Deepak Chopra;2000;St. Martin's Press;http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg;114;23
1853260053;Tess of the D'Urbervilles (Wordsworth Classics);Thomas Hardy;1997;NTC/Contemporary Publishing Company;http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg;153;5
1414035004;The Adventures of Drew and Ellie: The Magical Dress;Charles Noland;2003;1stBooks Library;http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg;199;22
60938412;The Accidental Virgin;Valerie Frankel;2003;Avon Trade;http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg;42;8
140067477;The Tao of Pooh;Benjamin Hoff;1983;Penguin Books;http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg;161;19
345465083;Seabiscuit;LAURA HILLENBRAND;2003;Ballantine Books;http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg;78;12
451625889;The Prince;Niccolo Machiavelli;1952;Signet Book;http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg;79;2
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991;Thomas Nelson;http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg;176;13
441783589;Starship Troopers;Robert A. Heinlein;1987;Ace Books;http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg;30;33
394895894;The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1);PHILIP PULLMAN;1988;Laurel Leaf;http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg;135;27
1569871213;Black Beauty (Illustrated Classics);Anna Sewell;1995;Landoll;http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg;45;22
375410538;Anil's Ghost;MICHAEL ONDAATJE;2000;Knopf;http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg;67;26
966986105;Prescription for Terror;Sandra Levy Ceren;1999;Andrew Scott Publishers;http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg;176;4
087113375X;Modern Manners: An Etiquette Book for Rude People;P.J. O'Rourke;1990;Atlantic Monthly Press;http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg;41;25
340767936;Turning Thirty;Mike Gayle;2000;"Hodder &amp; Stoughton General Division";http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg;107;12
743403843;Decipher;Stel Pavlou;2002;"Simon &amp; Schuster (Trade Division)";http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg;60;40
60930365;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;Sarah Payne Stuart;1999;Perennial;http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg;159;5
60177586;Standing Firm: A Vice-Presidential Memoir;Dan Quayle;1994;Harpercollins;http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg;105;7
71416331;Team Bush : Leadership Lessons from the Bush White House;Donald F. Kettl;2003;McGraw-Hill;http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg;130;18
375509038;The Right Man : The Surprise Presidency of George W. Bush;DAVID FRUM;2003;Random House;http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg;108;34
553062042;Daybreakers Louis Lamour Collection;Louis Lamour;1981;Bantam Doubleday Dell;http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg;32;27
316769487;The Catcher in the Rye;J.D. Salinger;1991;Little, Brown;http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg;103;30
8445071408;El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));J. R. R. Tolkien;2001;Minotauro;http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg;61;40
8445071769;El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));J. R. R. Tolkien;2001;Minotauro;http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg;167;39
8445071777;El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);J. R. R. Tolkien;2001;Distribooks;http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg;126;22
679429220;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994;Random House;http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg;35;3
671867156;Pretend You Don't See Her;Mary Higgins Clark;1998;Pocket;http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg;35;10
312252617;Fast Women;Jennifer Crusie;2001;St. Martin's Press;http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg;135;32
312261594;Female Intelligence;Jane Heller;2001;St. Martin's Press;http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg;119;20
316748641;Pasquale's Nose: Idle Days in an Italian Town;Michael Rips;2002;Back Bay Books;http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg;129;14
316973742;The Gospel of Judas: A Novel;Simon Mawer;2002;Back Bay Books;http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg;179;9
385235941;Prize Stories, 1987: The O'Henry Awards;William Abrahams;1987;Doubleday Books;http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg;44;15
446677450;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2000;Warner Books;http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg;79;29
451166892;The Pillars of the Earth;Ken Follett;1996;Signet Book;http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg;32;38
553347594;McDonald's: Behind the Arches;John F. Love;1995;Bantam;http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg;155;8
671621009;Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!;Robert G. Allen;1986;Fireside;http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg;71;29
067976397X;Corelli's Mandolin : A Novel;LOUIS DE BERNIERES;1995;Vintage;http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg;115;7
684822733;Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans;Pam Proctor;1996;Fireside;http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg;162;9
786868716;The Five People You Meet in Heaven;Mitch Albom;2003;Hyperion;http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg;187;5
8472238822;Tu Nombre Escrito En El Agua (La Sonrisa Vertical);Irene Gonzalez Frei;2002;Tusquets;http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg;60;38
671864769;Relics (Star Trek: The Next Generation);Michael Jan Friedman;1992;Star Trek;http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg;83;26
671521519;Bless The Beasts And Children : Bless The Beasts And Children;Glendon Swarthout;1995;Pocket;http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg;41;16
440222303;The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5);Neal Barrett Jr.;1996;Dell;http://images.amazon.com/images/P/0440222303.01.LZZZZZZZ.jpg;101;33
312953453;Blood Oath;David Morrell;1994;St. Martin's Press;http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg;75;34
446608653;The Alibi;Sandra Brown;2000;Warner Books;http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg;8;33
446612545;The Beach House;James Patterson;2003;Warner Books;http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg;109;22
446612618;A Kiss Remembered;Sandra Brown;2003;Warner Books;http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg;119;21
451208080;The Short Forever;Stuart Woods;2003;Signet Book;http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg;144;14
553584383;Dead Aim;IRIS JOHANSEN;2004;Bantam Books;http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg;137;0
671027360;"Angels &amp; Demons";Dan Brown;2001;Pocket Star;http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg;130;35
812575954;The Deal;Joe Hutsko;2000;Tor Books (Mm);http://images.amazon.com/images/P/0812575954.01.LZZZZZZZ.jpg;35;37
316735736;All He Ever Wanted: A Novel;Anita Shreve;2004;Back Bay Books;http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg;168;27
743439740;Every Breath You Take : A True Story of Obsession, Revenge, and Murder;Ann Rule;2002;Pocket;http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg;31;0
345372700;If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground;LEWIS GRIZZARD;1991;Ballantine Books;http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg;87;27
380619458;The Mosquito Coast;Paul Theroux;1990;Harper Mass Market Paperbacks (Mm);http://images.amazon.com/images/P/0380619458.01.LZZZZZZZ.jpg;40;13
446325805;If Love Were Oil, I'd Be About a Quart Low;Lewis Grizzard;1994;Warner Books (Mm);http://images.amazon.com/images/P/0446325805.01.LZZZZZZZ.jpg;175;27
451406923;Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims;Charles Hickey;1996;Onyx Books;http://images.amazon.com/images/P/0451406923.01.LZZZZZZZ.jpg;191;33
671042858;The Girl Who Loved Tom Gordon;Stephen King;2000;Pocket;http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg;87;26
743249992;Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions;Ben Mezrich;2003;Free Press;http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg;126;25
840734530;The Oneprince (The Redaemian Chronicles, Book 1);Bill Hand;1992;Thomas Nelson Inc;http://images.amazon.com/images/P/0840734530.01.LZZZZZZZ.jpg;149;33
425184226;The Sum of All Fears;Tom Clancy;2002;Berkley Publishing Group;http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg;118;33
375500766;Care Packages : Letters to Christopher Reeve from Strangers and Other Friends;DANA REEVE;1999;Random House;http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg;190;10
9724119378;O Deus Das Pequenas Coisas;Roy;1998;Edicoes Asa;http://images.amazon.com/images/P/9724119378.01.LZZZZZZZ.jpg;13;31
451205197;Lady in Green/Minor Indiscretions (Signet Regency Romance);Barbara Metzger;2002;Signet Book;http://images.amazon.com/images/P/0451205197.01.LZZZZZZZ.jpg;91;34
60929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998;Perennial;http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg;99;26
60976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996;Perennial;http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg;16;40
61099325;Coyote Waits (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1992;HarperTorch;http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg;68;19
671004573;Before I Say Good-Bye;Mary Higgins Clark;2001;Pocket;http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg;71;6
446601640;Slow Waltz in Cedar Bend;Robert James Waller;1994;Warner Books;http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg;184;5
330484516;Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title);Rachel Harris;2001;Pan Macmillan;http://images.amazon.com/images/P/0330484516.01.LZZZZZZZ.jpg;77;40
038572179X;Atonement : A Novel;IAN MCEWAN;2003;Anchor;http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg;81;35
393020371;Next: The Future Just Happened;Michael Lewis;2001;"W.W. Norton &amp; Company";http://images.amazon.com/images/P/0393020371.01.LZZZZZZZ.jpg;29;12
1900850303;The Angelic Darkness;Richard Zimler;1999;Arcadia Books;http://images.amazon.com/images/P/1900850303.01.LZZZZZZZ.jpg;39;36
1903019699;The Soulbane Stratagem;Norman Jetmundsen;2000;John Hunt Publishing, Ltd.;http://images.amazon.com/images/P/1903019699.01.LZZZZZZZ.jpg;112;31
345425294;Gangster;Lorenzo Carcaterra;2002;Fawcett Books;http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg;101;0
451410319;Hush;Anne Frasier;2002;Onyx Books;http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg;167;36
553583468;Whisper of Evil (Hooper, Kay. Evil Trilogy.);Kay Hooper;2002;Bantam Books;http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg;126;15
8420639133;Temor y Temblor;Soren Kierkegaard;2001;Alianza;http://images.amazon.com/images/P/8420639133.01.LZZZZZZZ.jpg;195;27
8476409419;Estudios sobre el amor;Jose Ortega Y Gaset;2001;Downtown Book Center;http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg;96;37
380778556;Rebecca;Daphne Du Maurier;1994;Avon;http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg;53;3
451525221;Scarlet Letter;Nathaniel Hawthorne;1993;Signet Book;http://images.amazon.com/images/P/0451525221.01.LZZZZZZZ.jpg;140;36
2740230;Keep It Simple: And Get More Out of Life;Nick Page;1999;Trafalgar Square;http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg;64;8
385336772;Diary of a Mad Mom-To-Be;Laura Wolf;2003;Delta;http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg;23;38
440949424;Locked in Time (Laurel Leaf Books);LOIS DUNCAN;1986;Laure Leaf;http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg;15;10
505524996;Contact;Susan Grant;2002;Love Spell;http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg;37;8
140252800;The Brimstone Wedding;Barbara Vine;1997;Penguin Books Ltd;http://images.amazon.com/images/P/0140252800.01.LZZZZZZZ.jpg;83;28
451452755;The Catswold Portal;Shirley Rousseau Murphy;1993;Roc;http://images.amazon.com/images/P/0451452755.01.LZZZZZZZ.jpg;67;15
812575482;Through Wolf's Eyes (Wolf);Jane Lindskold;2002;Tor Fantasy;http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg;63;37
044651747X;Puerto Vallarta Squeeze;Robert James Waller;1995;Warner Books;http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg;80;19
60801263;Tree Grows In Brooklyn;Betty Smith;1988;Harpercollins Publisher;http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg;37;26
61030147;Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think;Cybill Shepherd;2001;Avon Books;http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg;9;2
140250964;Snow Angels;Stewart O'Nan;1995;Penguin Books;http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg;37;23
446527165;Wish You Well;David Baldacci;2000;Warner Books;http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg;81;4
671461494;The Hitchhiker's Guide to the Galaxy;Douglas Adams;1982;Pocket;http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg;153;2
385337639;Crow Lake (Today Show Book Club #7);Mary Lawson;2003;Delta;http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg;134;30
039575514X;My Antonia;Willa Cather;1995;Mariner Books;http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg;175;27
451206673;Pen Pals;Olivia Goldsmith;2002;Signet Book;http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg;185;37
330332775;Bridget Jones's Diary;Helen Fielding;1997;Picador (UK);http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg;60;21
486284735;Pride and Prejudice (Dover Thrift Editions);Jane Austen;1995;Dover Publications;http://images.amazon.com/images/P/0486284735.01.LZZZZZZZ.jpg;26;37
671021745;EYE ON CRIME: HARDY BOYS #153;Franklin W. Dixon;1998;Aladdin;http://images.amazon.com/images/P/0671021745.01.LZZZZZZZ.jpg;68;10
671047612;Skin And Bones;Franklin W. Dixon;2000;Aladdin;http://images.amazon.com/images/P/0671047612.01.LZZZZZZZ.jpg;9;2
671504282;LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The);Franklin W. Dixon;1995;Simon Pulse;http://images.amazon.com/images/P/0671504282.01.LZZZZZZZ.jpg;133;13
399138684;The Cat Who Came to Breakfast (Cat Who... (Hardcover));Lilian Jackson Braun;1994;Putnam Pub Group;http://images.amazon.com/images/P/0399138684.01.LZZZZZZZ.jpg;121;5
